2.4397970789,-0.0032178320
2.4397970789,-0.0032178320
2.4397974042,-0.0032178320
2.4398555022,-0.0031873388
2.4398479430,-0.0031906677
2.4396044232,-0.0032567141
2.4382325893,-0.0036808225
2.4335943736,-0.0055632780
2.4266251619,-0.0078819592
2.4137819733,-0.0123235792
2.3936923454,-0.0191521906
2.3658608546,-0.0284784476
2.3336225428,-0.0389971349
2.2980380217,-0.0502070457
2.2597240203,-0.0617907312
2.2171023106,-0.0734647098
2.1739959069,-0.0853141788
2.1286974265,-0.0971033271
2.0812963658,-0.1087121795
2.0319934095,-0.1200171652
1.9809408490,-0.1308956456
1.9283570395,-0.1412207211
1.8727274372,-0.1507583771
1.8178683248,-0.1595972756
1.7616706309,-0.1677272406
1.7048692930,-0.1749067234
1.6473656039,-0.1811684809
1.5874891563,-0.1863954570
1.5292005142,-0.1907080469
1.4892366968,-0.1938127601
1.4306293257,-0.1959924243
1.3728536280,-0.1969136282
1.3155707332,-0.1968997797
1.2581718021,-0.1961995015
1.2015360946,-0.1945321210
1.1454359570,-0.1922533872
1.0908155733,-0.1890502702
1.0365987119,-0.1852643350
0.9832569678,-0.1810802426
0.9316164416,-0.1762789627
0.8817573381,-0.1707129427
0.8332320847,-0.1648790220
0.7860638869,-0.1588548185
0.7400195619,-0.1525890076
0.6955771937,-0.1463050127
0.6527449880,-0.1398055802
0.6115467952,-0.1332962819
0.5724213173,-0.1266803239
0.5351482244,-0.1198581703
0.5002796534,-0.1130346190
0.4667463440,-0.1063476584
0.4349501709,-0.0998972159
0.4044543736,-0.0937780707
0.3756137743,-0.0877458698
0.3490566513,-0.0818311222
0.3236542849,-0.0761255639
0.3001463697,-0.0707101590
0.2775438637,-0.0655804997
0.2566240960,-0.0607809508
0.2364419047,-0.0562966839
0.2176847872,-0.0521629252
0.2004885536,-0.0480093834
0.1842083522,-0.0443118506
0.1689226611,-0.0407710481
0.1552150868,-0.0374060109
0.1418924926,-0.0343228045
0.1295474273,-0.0315997223
0.1182512198,-0.0288831509
0.1083496904,-0.0262855036
0.0985751513,-0.0239588563
0.0894552621,-0.0220011666
0.0810350795,-0.0200605684
0.0736814688,-0.0181595289
0.0672329265,-0.0163571015
0.0617426150,-0.0144623182
0.0563129883,-0.0130150233
0.0508952287,-0.0117713680
0.0460626333,-0.0107391268
0.0416619310,-0.0096712129
0.0379431897,-0.0086238990
0.0347112797,-0.0076678241
0.0321050646,-0.0066247198
0.0290380112,-0.0060370934
0.0255400489,-0.0056734314
0.0221468166,-0.0055362786
0.0186247175,-0.0053800022
0.0163201501,-0.0048788935
0.0151652951,-0.0041550463
0.0134426601,-0.0035783398
0.0115320641,-0.0033355927
0.0094598836,-0.0031288243
0.0074204236,-0.0029795945
0.0055525525,-0.0029381824
0.0036062242,-0.0028286375
0.0018251165,-0.0027260103
0.0000187626,-0.0027060366
-0.0017653778,-0.0026076537
-0.0034251318,-0.0025902100
-0.0051670607,-0.0024937977
-0.0056695917,-0.0020189137
-0.0062020834,-0.0016679091
-0.0070986281,-0.0014074964
-0.0080158148,-0.0012314503
-0.0087733095,-0.0011751245
-0.0095788372,-0.0010618639
-0.0103570837,-0.0009599808
-0.0109489031,-0.0009397407
