0.000, -183.800, 80.200, 0.000
0.050, -183.800, 78.700, 0.000
0.100, -183.800, 78.700, 0.000
0.150, -183.800, 78.700, -0.013
0.200, -183.800, 78.698, 0.043
0.250, -183.800, 78.696, 0.042
0.300, -183.800, 78.690, 0.165
0.350, -183.799, 78.675, 0.350
0.400, -183.794, 78.651, 0.511
0.450, -183.787, 78.616, 0.773
0.500, -183.774, 78.565, 1.108
0.550, -183.754, 78.497, 1.409
0.600, -183.727, 78.418, 1.659
0.650, -183.694, 78.327, 1.889
0.700, -183.659, 78.227, 2.104
0.750, -183.621, 78.116, 2.311
0.800, -183.580, 77.996, 2.514
0.850, -183.537, 77.867, 2.715
0.900, -183.492, 77.728, 2.915
0.950, -183.445, 77.580, 3.115
1.000, -183.396, 77.422, 3.317
1.050, -183.345, 77.254, 3.519
1.100, -183.292, 77.077, 3.721
1.150, -183.239, 76.890, 3.923
1.200, -183.184, 76.693, 4.124
1.250, -183.128, 76.487, 4.326
1.300, -183.072, 76.270, 4.527
1.350, -183.014, 76.044, 4.727
1.400, -182.957, 75.807, 4.927
1.450, -182.898, 75.561, 5.128
1.500, -182.841, 75.304, 5.326
1.550, -182.783, 75.037, 5.525
1.600, -182.726, 74.760, 5.722
1.650, -182.669, 74.473, 5.919
1.700, -182.613, 74.176, 6.115
1.750, -182.557, 73.869, 6.308
1.800, -182.502, 73.552, 6.499
1.850, -182.448, 73.225, 6.687
1.900, -182.395, 72.888, 6.871
1.950, -182.342, 72.543, 7.052
2.000, -182.291, 72.188, 7.230
2.050, -182.243, 71.823, 7.404
2.100, -182.195, 71.450, 7.574
2.150, -182.149, 71.069, 7.742
2.200, -182.104, 70.678, 7.905
2.250, -182.060, 70.280, 8.066
2.300, -182.018, 69.874, 8.224
2.350, -181.978, 69.459, 8.378
2.400, -181.940, 69.037, 8.529
2.450, -181.903, 68.607, 8.678
2.500, -181.869, 68.169, 8.823
2.550, -181.837, 67.724, 8.967
2.600, -181.806, 67.272, 9.107
2.650, -181.776, 66.813, 9.245
2.700, -181.748, 66.347, 9.381
2.750, -181.723, 65.874, 9.514
2.800, -181.698, 65.395, 9.646
2.850, -181.676, 64.909, 9.774
2.900, -181.654, 64.416, 9.902
2.950, -181.634, 63.917, 10.027
3.000, -181.615, 63.412, 10.150
3.050, -181.597, 62.901, 10.271
3.100, -181.580, 62.384, 10.390
3.150, -181.565, 61.861, 10.508
3.200, -181.550, 61.332, 10.624
3.250, -181.537, 60.797, 10.738
3.300, -181.525, 60.256, 10.850
3.350, -181.513, 59.710, 10.961
3.400, -181.503, 59.159, 11.070
3.450, -181.493, 58.602, 11.177
3.500, -181.484, 58.040, 11.283
3.550, -181.476, 57.472, 11.388
3.600, -181.468, 56.899, 11.492
3.650, -181.461, 56.321, 11.594
3.700, -181.455, 55.738, 11.694
3.750, -181.451, 55.150, 11.794
3.800, -181.446, 54.558, 11.892
3.850, -181.441, 53.960, 11.989
3.900, -181.436, 53.357, 12.084
3.950, -181.432, 52.750, 12.179
4.000, -181.429, 52.138, 12.272
4.050, -181.426, 51.521, 12.364
4.100, -181.424, 50.900, 12.455
4.150, -181.421, 50.275, 12.544
4.200, -181.418, 49.644, 12.633
4.250, -181.415, 49.010, 12.720
4.300, -181.412, 48.371, 12.806
4.350, -181.410, 47.728, 12.891
4.400, -181.409, 47.081, 12.975
4.450, -181.407, 46.429, 13.057
4.500, -181.405, 45.774, 13.138
4.550, -181.404, 45.114, 13.219
4.600, -181.402, 44.451, 13.298
4.650, -181.400, 43.783, 13.375
4.700, -181.398, 43.112, 13.452
4.750, -181.396, 42.437, 13.528
4.800, -181.394, 41.758, 13.602
4.850, -181.392, 41.076, 13.675
4.900, -181.390, 40.389, 13.747
4.950, -181.389, 39.700, 13.818
